Part Name,Quantity, Price ,Link
33pF Capacitor,4, EGP 2.00 ,https://makerselectronics.com/product/ceramic-capacitor-33pf-50v/
10 uF cap,6, EGP 6.00 ,https://www.ram-e-shop.com/shop/c-10u25v-capacitor-10uf-25v-6095
220 uF Cap,2, EGP 2.00 ,https://www.ram-e-shop.com/shop/c-220u16v-capacitor-220uf-16v-5654
4700 uF cap,2, EGP 12.00 ,https://www.ram-e-shop.com/shop/c-4700u25v-capacitor-4700uf-25v-6079
47 uF cap,7, EGP 7.00 ,https://makerselectronics.com/product/capacitor-47uf-50v/
100 nF Cap,18, EGP 13.50 ,https://www.ram-e-shop.com/shop/c-pf-104-ceramic-capacitor-pf104-100nf-25v-6240
100 pF Cap,1, EGP 0.50 ,https://makerselectronics.com/product/ceramic-capacitor-100pf-50v/
Yellow LED  10mm,2, EGP 6.00 ,https://makerselectronics.com/product/yellow-led-transparent-10mm/
Green LED  10mm,2, EGP 6.00 ,https://makerselectronics.com/product/green-led-10mm-transparent/
Red LED  10mm,2, EGP 6.00 ,https://makerselectronics.com/product/red-led-transparent-10mm/
Orange LED  10mm,2, EGP 6.00 ,https://makerselectronics.com/product/orange-led-10mm-transparent/
RJ8-P-PCB (RJ45 8P8C Plastic Housing),5, EGP 25.00 ,https://www.ram-e-shop.com/shop/rj8-p-pcb-rj45-8-pin-connector-on-pcb-plastic-housing-5749
10K R,14, EGP 4.00 ,https://www.ram-e-shop.com/shop/carbon-resistance-1-4w-price-per-4-resistors-9506#attr=314
2.2K R,2, EGP 0.10 ,https://makerselectronics.com/product/carbon-resistor-2-2k%cf%89-0-125w-through-hole/
10 R,2, EGP 1.50 ,https://makerselectronics.com/product/carbon-resistor-10%cf%89-0-25w-through-hole/
470 R,8, EGP 2.00 ,https://www.ram-e-shop.com/shop/carbon-resistance-1-4w-price-per-4-resistors-9506#attr=307
47k R,1, EGP 1.50 ,https://makerselectronics.com/product/carbon-resistor-47k%cf%89-0-25w/
100k R,2, EGP 1.00 ,https://www.ram-e-shop.com/shop/carbon-resistance-1-4w-price-per-4-resistors-9506#attr=317
47 R,2, EGP 0.20 ,https://makerselectronics.com/product/carbon-resistor-47%cf%89-0-125w-through-hole/
220K R,2, EGP 1.50 ,https://makerselectronics.com/product/carbon-resistor-220k%cf%89-0-25w-through-hole/
4.7K R,4, EGP 1.50 ,https://makerselectronics.com/product/carbon-resistor-4-7k-0-25w/
C8050,4, EGP 3.00 ,https://www.ram-e-shop.com/shop/c8050-c8050-6050
11.0592MHz Crystal,2, EGP 8.00 ,https://www.ram-e-shop.com/shop/o-11-0592mhz-crystal-oscillator-11-0592-mhz-5668
32.768 kHz Crystal,1, EGP 3.00 ,https://www.ram-e-shop.com/shop/o-32-768khz-crystal-oscillator-32-768-khz-5880
PIN Headers x40 Male,2, EGP 6.00 ,https://makerselectronics.com/product/pin-headers-male-2-54mm-40-pin-straight-black-11mm/
PIN Headers x40 Female,2, EGP 10.00 ,https://makerselectronics.com/product/pin-headers-female-2-54mm-40-pin/
Speakers 8 ohm 0.25 watts,2, EGP 20.00 ,https://makerselectronics.com/product/speaker-8%cf%89-0-25w-o-29mm/
Condenser Microphone,2, EGP 12.00 ,https://makerselectronics.com/product/condenser-microphone-2-pins/
I2C LCD 2x16 Modules,2, EGP 290.00 ,https://www.ram-e-shop.com/shop/lcd-i2c-2x16-blue-iic-i2c-1602-serial-character-lcd-2x16-display-8884
4 Pin Toggle Switch DSPT,2, EGP 80.00 ,https://makerselectronics.com/product/toggle-switch-4-pins-15a-e-ten1221-o/
2 Pin Toggle Switch SPST,2, EGP 40.00 ,https://makerselectronics.com/product/toggle-switch-on-off-2-pin-2a-12mm/
Momentary Toggle presses/switches 8,8, EGP 52.00 ,https://makerselectronics.com/product/push-button-switch-on-off-2pin/
Buzzers,2, EGP 50.00 ,https://www.ram-e-shop.com/shop/buzzer12v-big-black-buzzer-big-size-3-24v-piezo-electronic-alarm-6122
PCB 13x25 cm2 Dotted Holes,2, EGP 97.00 ,https://www.ram-e-shop.com/shop/pcb23-holes-13x25-pcb-13x25-cm2-dots-holes-sku-pcb23-6681
Jumper Wire Cables Male to Male [40 Wires],2, EGP 70.00 ,https://www.ram-e-shop.com/shop/ph61-mm-20cm-ph61-20cm-male-to-male-40-jumper-wires-set-7094
Jumper Wire Cables Female to Female [40 Wires],1, EGP 35.00 ,https://www.ram-e-shop.com/shop/ph62-ff-20cm-ph62-20cm-female-to-female-40-jumper-wires-set-7189
Jumper Wire Cables Male to Female [40 Wires],2, EGP 70.00 ,https://www.ram-e-shop.com/shop/ph60-mf-20cm-ph60-20cm-male-to-female-40-jumper-wires-set-7066
Solder Wire,1, EGP 210.00 ,https://makerselectronics.com/product/soldering-wire-100gm-alloy70-30-made/
Soldering Iron,1, EGP 195.00 ,https://www.ram-e-shop.com/shop/se860-suoer-se860-60w-basic-soldering-iron-ct-360-5600
Soldering Iron Stand,1, EGP 45.00 ,https://makerselectronics.com/product/no-218-soldering-iron-stand/
Soldering Paste,1, EGP 25.00 ,https://makerselectronics.com/product/yx-18-flux-soldering-paste/?attribute_size=50g
Fares USBasp AVR programmer,1, EGP 175.00 ,https://www.ram-e-shop.com/shop/prog-avr-fares-fares-usbasp-avr-programmer-8325
20 Meter CAT6 Cable,1, EGP 165.00 ,https://makerselectronics.com/product/zlink-cable-cat6-ethernet-patch-cord/
12 VDC Wall Power Adapter,1, EGP 135.00 ,https://www.ram-e-shop.com/shop/adapter-fixed-12v-3a-wall-power-adapter-12vdc-3a-high-quality-adapter-5573
Female DC Jack Adapter with Terminal Block,1, EGP 7.00 ,https://makerselectronics.com/product/female-dc-jack-adapter-terminals/
AT89S52-PU24,2, EGP 170.00 ,https://makerselectronics.com/product/at89s52-24pu-8kb-4v5-5v-256byte-24/
IC Socket DIP-40,2, EGP 10.00 ,https://www.ram-e-shop.com/shop/n20-20-ic-socket-n20-20-base-40-pin-5902
IC Socket DIP-16,3, EGP 5.25 ,https://makerselectronics.com/product/ic-socket-88-base-16-pin/
CD4051,2, EGP 30.00 ,https://www.ram-e-shop.com/shop/4051-ic-4051-single-8-channel-multiplexer-demultiplexer-5551
CD4052BE,1, EGP 9.00 ,https://makerselectronics.com/product/cd4052be-dual-4-channel-analog/
IC Socket DIP-8,10, EGP 7.50 ,https://www.ram-e-shop.com/shop/n4-4-ic-socket-n4-4-base-8-pin-5864
TL072CN,2, EGP 34.00 ,https://www.ram-e-shop.com/shop/tl072-tl072cn-5722
LM386N,2, EGP 12.00 ,https://www.ram-e-shop.com/shop/lm386-lm386n-5927
ICL7660,2, EGP 102.60 ,https://uge-one.com/product/icl7660/
MAX485CPA+,4, EGP 72.00 ,https://makerselectronics.com/product/ic-max485cpa-low-power-transceiver-dip-8/
LM7805 Regulator,2, EGP 10.00 ,https://makerselectronics.com/product/lm7805-voltage-regulator-to-220-5v/
LD33CV Regulator,1, EGP 20.00 ,https://www.ram-e-shop.com/shop/ld1117v33-ld1117v33-ld33cv-6735
TO-220 Regulator Heat Sink,3, EGP 10.50 ,https://www.ram-e-shop.com/shop/hs2-aluminum-heatsink-hs-2-size-25x14x10-mm-5981
Logic level Converter Module,1, EGP 28.50 ,https://uge-one.com/product/bi-directional-4-way-level-conversion-module/?gad_source=1&gad_campaignid=24034682861&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSi15wnBhh5vjV9PTNDUeKMSZ1iojFyjaDYYeGKExxMUaX75Kg8KlMhoCpS4QAvD_BwE
Metal Potentiometer 10K? 3-Pin,2, EGP 11.00 ,https://makerselectronics.com/product/metal-potentiometer-10k%cf%89-3-pin/
RDA5807M,1, EGP 55.00 ,https://uge-one.com/product/rda5807m-fm-radio-receiver-smd-ic-msop1
,," EGP 2,495.65 ",
,,,
Note: Most resistors come in pack of 10s - 4s,,,
,,,
Shipping: RAM,, EGP 105.00 ,
Shipping: Makers Electronics,80 - 75, EGP 80.00 ,
Shipping: UGE Electronics,, EGP 188.10 ,
VAT: UGE Electronics,, EGP 45.95 ,
,, EGP 419.05 ,
,,,
,," EGP 2,914.70 ",
