"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"10K1","1","Mic Volume Control","","","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Horizontal","~"
"BZ1","1","Buzzer","","","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Horizontal","~"
"C1,C2","2","33pF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C3,C4,C5,C12,C14,C26,C28,C41","8","0.1 uF","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"C6,C23,C24","3","10 uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C11","1","220 uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C27","1","4700 uF","","","","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~"
"C42,C45,C46,C70","4","47 uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C43,C44","2","100 nF","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"C69","1","100pF","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"D1","1","Yellow Hold LED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"D2","1","Green Call LED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"D3","1","Red Power LED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"D14","1","Orange Speaker Switch LED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J1","1","Antenna","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J2","1","Station 2 Cable [Ethernet]","","","","Connector_RJ:RJ45_Amphenol_RJHSE5380","~"
"J3","1","Station 3 Cable [Ethernet]","","","","Connector_RJ:RJ45_Amphenol_RJHSE5380","~"
"J4","1","Station 4 Cable [Ethernet]","","","","Connector_RJ:RJ45_Amphenol_RJHSE5380","~"
"J5","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"LS1","1","Station 1 Speaker","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"MK2","1","Microphone","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q1,Q2,Q3","3","S8050","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.unisonic.com.tw/datasheet/S8050.pdf"
"R1,R3,R6,R7,R8,R10,R11,R23","8","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2,R9,R12","3","4.7K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4","1","10","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R5","1","2.2K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R18,R19,R26,R50","4","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R20","1","47k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R21","1","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R22","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R24","1","47","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R25","1","220K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV6","1","Volume Control Station 1","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"SW1","1","Call Button","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"SW2","1","Hang Button","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"SW3","1","Scroll Button","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"SW4","1","Radio Button","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"SW17","1","Speaker Switch","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"SW21","1","Radio Button 2","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"SW22","1","POWER_SWITCH","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
