"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"10K1","1","Mic Volume Control","","","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Horizontal","~"
"11.0592MHz1","1","Y1","","","","Crystal:Crystal_HC49-U_Vertical","~"
"BZ1","1","Buzzer","","","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Horizontal","~"
"C1,C10,C12,C14,C17,C26","6","0.1 uF","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"C2,C5","2","100 nF","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"C3,C15,C16","3","10 uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C4,C6,C9","3","47 uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C7,C8","2","33pF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C11","1","220 uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C13","1","4700 uF","","","","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~"
"D1","1","Orange Speaker Switch LED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"D2","1","Yellow Hold LED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"D3","1","Green Call LED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"D4","1","Red Power LED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J1","1","Station 2 Cable [Ethernet]","","","","Connector_RJ:RJ45_Amphenol_RJHSE5380","~"
"LS1","1","Station 2 Speaker","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"MK2","1","Microphone","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"Q3","1","S8050","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.unisonic.com.tw/datasheet/S8050.pdf"
"R1","1","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2","1","47k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4","1","10","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R5","1","2.2K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R6,R7,R14,R15","4","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R8","1","220K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R9","1","47","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R10,R11,R12,R13","4","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R16","1","4.7K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1","1","Volume Control Station 2","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"SW1","1","Speaker Switch","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"SW2","1","Call Button","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"SW3","1","Hang Button","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"SW4","1","Scroll Button","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"SW22","1","POWER_SWITCH","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"U1","1","MAX485E","","","","Package_DIP:DIP-8_W7.62mm_Socket","https://datasheets.maximintegrated.com/en/ds/MAX1487E-MAX491E.pdf"
"U2","1","TL072","","","","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U3","1","LM386","","","","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm386.pdf"
"U5","1","uA7805","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp","http://www.ti.com/lit/ds/symlink/ua78.pdf"
"U6","1","ICL7660","","","","Package_DIP:DIP-8_W7.62mm_Socket","http://datasheets.maximintegrated.com/en/ds/ICL7660-MAX1044.pdf"
"U7","1","AT89C55WD-24PU","","","","Package_DIP:DIP-40_W15.24mm_Socket",""
"U8","1","CD4051B","","","","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/cd4052b.pdf"
"U9","1","~","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
